TimestepsSoFar,ev_tdlam_before,AI_return,EpisodesSoFar,EpThisIter,loss_pol_surr,loss_ent,loss_kl,EpLenMean,loss_pol_entpen,TimeElapsed,EpRewMean,loss_vf_loss,AI_success_rate,AI_distance
1861,1.2159347534179688e-05,0.0,3,3,-0.0109117245,5.7196765,0.0053194184,620.3333333333334,0.0,5.084985017776489,-13510.176272298993,184231.03,0.0,21.245079300242978
3492,-0.004919767379760742,0.0,5,2,-0.012168471,5.71227,0.00706728,698.4,0.0,9.725785255432129,-11613.248742428088,150309.8,0.0,21.49266144435102
