EpThisIter,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,AI_return,EpRewMean,loss_ent,AI_distance,loss_kl,EpisodesSoFar,EpLenMean,AI_success_rate,ev_tdlam_before,loss_vf_loss,TimeElapsed
5,-0.01777096,73350,0.0,-7793.811784000724,-7168.637288236449,5.6273046,18.524620950961623,0.007912397,131,543.73,0.0,0.004516661167144775,90159.23,168.75144720077515
7,-0.023121249,75285,0.0,-7714.130909866675,-6703.970124240453,5.60169,18.471244747337266,0.009451898,138,513.28,0.0,0.008658409118652344,130797.13,173.39999103546143
8,-0.01882554,77496,0.0,-7482.346819886094,-6630.752421796002,5.571672,18.391074773893465,0.0088247545,146,511.28,0.0,0.002938389778137207,91676.46,178.0918939113617
6,-0.017512646,79800,0.0,-7319.7091788739135,-6265.368583433542,5.5443273,18.261469178562777,0.007510057,152,496.82,0.0,0.001785874366760254,125466.07,182.76714205741882
7,-0.014618911,81832,0.0,-7242.68763616002,-5963.283583419256,5.5635476,18.201919036358472,0.0051519,159,467.39,0.0,0.007282614707946777,158189.86,187.47660779953003
4,-0.015695734,83884,0.0,-7191.945942602258,-5714.115233214012,5.5592494,18.14249238233442,0.0058687422,163,465.96,0.0,0.0033397674560546875,93386.46,192.0788767337799
4,-0.01583954,85681,0.0,-7172.009472479504,-5797.234192116847,5.5404983,18.04883570336323,0.005626302,167,469.99,0.0,0.002766847610473633,145578.77,196.84968829154968
6,-0.01652524,87565,0.0,-7011.5919560564325,-5675.782760763665,5.535522,17.84133366541092,0.0060705096,173,463.31,0.0,0.0012202858924865723,62617.383,201.49715328216553
8,-0.016694356,90039,0.0,-6909.3387691490225,-5953.377139028657,5.5571847,17.74896045323333,0.0071784584,181,475.82,0.0,0.013383448123931885,96898.98,206.14786458015442
8,-0.019494649,92041,0.0,-6749.464457160887,-5669.000424381383,5.5392594,17.488986044346216,0.007608474,189,450.74,0.0,0.011111140251159668,86959.36,210.8028953075409
