loss_kl,EpRewMean,EpisodesSoFar,loss_vf_loss,EpThisIter,TimestepsSoFar,loss_pol_entpen,loss_ent,AI_return,TimeElapsed,loss_pol_surr,AI_success_rate,AI_distance,EpLenMean,ev_tdlam_before
0.011303209,-12083.156036622,3,156826.4,3,1861,0.0,5.6635394,-9062.3670274665,6.486058712005615,-0.016949195,0.0,19.732139691910888,620.3333333333334,0.0001328587532043457
0.010237404,-12936.007995830485,6,121075.664,3,3891,0.0,5.6444592,-11088.006853568988,12.422770977020264,-0.017168544,0.0,21.410895519482363,648.5,-0.187524676322937
0.007822613,-14623.432159686092,7,110700.1,1,5592,0.0,5.5814614,-12795.50313972533,18.66482639312744,-0.017576892,0.0,22.484969010930055,798.8571428571429,-0.06014847755432129
0.01019891,-13026.72189932315,12,121025.48,5,8148,0.0,5.589766,-12024.666368605986,24.85986638069153,-0.020750854,0.0,21.555760960655928,679.0,-0.2599719762802124
0.012752262,-12441.468388753017,15,130948.266,3,9736,0.0,5.583425,-11663.876614455949,31.07763409614563,-0.018318666,0.0,21.89866168019691,649.0666666666667,0.08996498584747314
0.009164505,-12251.561011984826,16,24051.873,1,11190,0.0,5.5943456,-11530.880952456306,37.231138706207275,-0.020444043,0.0,22.375505907083596,699.375,-0.023337721824645996
0.014491177,-11231.528616073943,19,67070.836,3,14210,0.0,5.5887647,-10669.952185270244,43.12860131263733,-0.027727472,0.0,22.470625815136735,747.8947368421053,-0.09168028831481934
0.015066504,-10236.158252339626,24,79436.49,5,16031,0.0,5.57547,-9826.711922246039,49.14378356933594,-0.033875644,0.0,21.432168779088688,667.9583333333334,-0.20909297466278076
0.014949356,-9113.041278529712,28,91322.29,4,18099,0.0,5.5585313,-8798.79847582179,55.27325654029846,-0.027063284,0.0,20.066197472364106,646.3928571428571,0.31466221809387207
0.010137275,-8462.280086791805,31,26209.113,3,20364,0.0,5.549748,-8197.833834079564,61.456480503082275,-0.025702469,0.0,19.53394375762885,656.9032258064516,0.4174726605415344
0.015061952,-7789.144249424044,35,33165.72,4,22470,0.0,5.5590158,-7572.779131384487,67.53476977348328,-0.03678992,0.0,18.840948206142276,642.0,0.5249338746070862
0.014066491,-8023.374115766002,37,127780.29,2,24219,0.0,5.57396,-7812.232691666897,73.65879988670349,-0.03382247,0.0,18.844351686278337,654.5675675675676,0.3380560874938965
0.01636574,-7861.455087579395,42,36701.99,5,26600,0.0,5.5634475,-7678.630550658943,79.63133335113525,-0.039696336,0.0,18.380112784287853,633.3333333333334,0.6294622123241425
0.016604384,-7017.508098009916,46,26433.258,4,28416,0.0,5.5741124,-6868.1994150735345,85.5816490650177,-0.044279054,0.0,17.589766735412837,617.7391304347826,0.34759438037872314
0.017021038,-7242.875630045247,50,63459.258,4,30457,0.0,5.581213,-7100.858460828674,91.4547667503357,-0.043499473,0.0,17.650371019947983,609.14,-0.02801835536956787
0.016987385,-6872.5530894627755,56,28573.717,6,32411,0.0,5.5716558,-6751.981982630095,97.6208815574646,-0.044041205,0.0,17.371505005974548,578.7678571428571,0.5930852293968201
0.017949555,-6747.586919228309,61,36002.438,5,34504,0.0,5.583922,-6638.754872143981,103.61196160316467,-0.03777505,0.0,17.21760049422737,565.639344262295,0.19496941566467285
0.02140561,-6599.248476531349,68,46366.97,7,36782,0.0,5.580093,-6503.60719426278,109.82840847969055,-0.043644182,0.0,16.988732907111576,540.9117647058823,-0.06816375255584717
0.01983665,-6509.0199798797585,74,40660.13,6,38908,0.0,5.574427,-6422.233046814696,116.0020158290863,-0.045677867,0.0,16.991605600064,525.7837837837837,0.15645581483840942
0.023331404,-6581.814973006943,79,102742.586,5,40709,0.0,5.5855117,-6499.542285844356,121.82659411430359,-0.048290852,0.0,16.90357103312997,515.3037974683544,0.3951195478439331
0.023290157,-6409.900793705866,85,96566.88,6,42963,0.0,5.5669103,-6335.367063546495,128.13268327713013,-0.043684557,0.0,16.957895510854463,505.4470588235294,0.29039937257766724
0.021529952,-6470.203020752628,90,103780.95,5,45055,0.0,5.5393167,-6399.101888656445,134.03243684768677,-0.052651096,0.0,16.936660311935682,500.6111111111111,0.2568763494491577
0.022762641,-6215.66361067407,97,36680.086,7,46754,0.0,5.5344863,-6152.238471789643,140.3715579509735,-0.052211367,0.0,16.684994084860364,482.0,0.49433284997940063
0.021516593,-6360.633864601447,100,80841.64,3,48245,0.0,5.491487,-6297.657291684604,146.5420219898224,-0.05831174,0.0,16.87851762528967,482.45,0.3648058772087097
0.027786484,-5717.583800775802,107,52622.215,7,51120,0.0,5.5150304,-6241.87412217947,152.7077305316925,-0.05506543,0.0,16.817438709467556,455.28,0.7934590280056
0.025793761,-5824.651089155111,109,42150.086,2,53210,0.0,5.512035,-6349.681879744286,158.86026692390442,-0.04066685,0.0,16.906122252315903,467.81,0.68328857421875
0.029491697,-5146.3047121645,115,18793.367,6,55160,0.0,5.480662,-6045.2801469633205,165.1274778842926,-0.06405091,0.0,16.729092079147176,454.24,0.15855610370635986
0.036621075,-5120.725747040006,117,29757.246,2,57078,0.0,5.448858,-6132.728522323915,171.29990553855896,-0.054491706,0.0,16.81198162041479,434.46,0.8468208461999893
0.02551353,-5086.000167007096,122,28590.188,5,59136,0.0,5.499348,-6015.61091521677,177.1411852836609,-0.05132539,0.0,16.677725904172657,438.5,0.5229019522666931
0.029095357,-5102.816278595861,127,19678.268,5,61240,0.0,5.499083,-5968.157396020793,183.02618956565857,-0.06693992,0.0,16.60755208600417,434.13,0.7350965142250061
