EpisodesSoFar,AI_success_rate,EpRewMean,AI_distance,loss_vf_loss,TimestepsSoFar,loss_ent,EpLenMean,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,AI_return,loss_pol_surr,EpThisIter
520,0.0019230769230769232,-303.2767402520137,15.202084947578681,86469.39,219048,5.358501,357.58,491.39281964302063,0.006186127,0.0,0.5169849693775177,-3782.7262821263457,-0.012637007,5
524,0.0019083969465648854,-212.20938252953107,15.190459806307347,49032.47,221028,5.3367724,362.73,496.00817108154297,0.004992684,0.0,0.4925633668899536,-3759.331708404808,-0.015189012,4
527,0.0018975332068311196,-15.235119254186197,15.130584399374865,62915.484,223121,5.317693,372.49,500.76372957229614,0.0055590277,0.0,0.2747802734375,-3715.9331667368533,-0.017391736,3
531,0.0018832391713747645,4.775754817085055,15.086190422758628,48292.72,224658,5.3289638,371.0,505.48507380485535,0.004821788,0.0,0.685425341129303,-3681.046725441508,-0.013616163,4
533,0.001876172607879925,-102.1454685737276,15.08466526240388,13624.723,226951,5.3152566,386.3,510.11107540130615,0.005315267,0.0,0.5502754151821136,-3685.267593197713,-0.015332136,2
539,0.0018552875695732839,-121.3840928137094,15.051156866575514,79488.2,228954,5.2872024,388.12,514.7381749153137,0.007462923,0.0,0.6932160258293152,-3645.5342535617883,-0.017942596,6
544,0.001838235294117647,-417.5466681911579,15.046643600562241,115865.57,230955,5.3152056,392.17,519.3015577793121,0.006034846,0.0,0.7102670967578888,-3659.9433716802155,-0.017248083,5
547,0.0018281535648994515,-418.84013031910354,15.021562660935716,91057.766,232999,5.318543,406.9,523.88023853302,0.0052969987,0.0,0.6888167858123779,-3649.463089377524,-0.01670317,3
553,0.0018083182640144665,-342.31989580807834,14.973266860600688,37333.113,235494,5.3073115,418.38,528.5329558849335,0.003386013,0.0,0.6807137727737427,-3604.147020186282,-0.012385899,6
558,0.0017921146953405018,-297.56631727754507,14.922007557713425,40587.664,237555,5.2968125,424.16,533.113899230957,0.0057716123,0.0,0.5933173596858978,-3559.4542500497614,-0.012553662,5
565,0.0017699115044247787,-148.023858175567,14.903847075814502,77061.336,239576,5.305359,417.48,537.6463730335236,0.0056764903,0.0,0.5954485237598419,-3543.4632051902536,-0.014795781,7
568,0.0017605633802816902,-329.84826948618087,14.885546803114513,68372.25,240870,5.3017125,420.15,542.1956856250763,0.005559271,0.0,0.7070527374744415,-3541.4875819182266,-0.011984626,3
571,0.0017513134851138354,-266.8762003775643,14.878937134181824,54526.137,243314,5.2815995,438.86,546.8156590461731,0.005825647,0.0,0.6525039672851562,-3513.3435704841727,-0.016906243,3
580,0.0017241379310344827,-669.3623821477329,14.92075570628551,64746.75,245579,5.29604,435.01,551.5555107593536,0.0071440623,0.0,0.7285966575145721,-3519.847441865037,-0.015093621,9
586,0.0017064846416382253,-525.4856673055637,14.865668573132107,114200.37,247795,5.2921596,436.64,556.1970200538635,0.005460568,0.0,0.716172456741333,-3464.697912967652,-0.016541159,6
592,0.0016891891891891893,-698.4665331339736,14.853140982854901,61031.453,249404,5.286656,433.0,560.8092951774597,0.005618756,0.0,0.684434562921524,-3445.515110347372,-0.0143961,6
596,0.0016778523489932886,-681.3735194555245,14.815614134218386,29885.572,251751,5.2693076,443.68,565.3974299430847,0.00520554,0.0,0.742580235004425,-3419.829772740659,-0.014011172,4
602,0.0016611295681063123,-640.0205476009486,14.78822192023224,37011.375,253600,5.266435,428.08,570.0686962604523,0.007111243,0.0,0.6616146266460419,-3382.823164170421,-0.014669182,6
608,0.001644736842105263,-651.3520344415214,14.780632526124267,94146.875,255568,5.2547927,426.08,574.8542633056641,0.0049947705,0.0,0.6557924747467041,-3371.677634446824,-0.016391966,6
