loss_ent,loss_pol_entpen,AI_return,EpisodesSoFar,AI_distance,TimeElapsed,loss_vf_loss,AI_success_rate,EpLenMean,EpRewMean,EpThisIter,TimestepsSoFar,loss_pol_surr,loss_kl,ev_tdlam_before
5.6733384,0.0,-7233.920148671361,3,12.879195223521208,9.67439889907837,155603.11,0.0,482.3333333333333,-9645.226864895149,3,1447,-0.01929017,0.011605673,1.0788440704345703e-05
5.6958013,0.0,-10031.348450441154,5,15.026232758960523,15.96715760231018,177149.14,0.0,780.8,-12037.618140529385,2,3904,-0.01813341,0.011185248,0.1151113510131836
5.718079,0.0,-8859.04394770291,7,14.994120589524545,22.146199703216553,141813.84,0.0,847.5714285714286,-10124.621654517612,2,5933,-0.020333486,0.011164209,-0.06658899784088135
5.6777654,0.0,-8837.635911595553,10,16.314090367905855,28.291388273239136,77396.06,0.0,788.4,-9721.399502755106,3,7884,-0.020134313,0.008050944,-0.14255797863006592
5.6507125,0.0,-8163.5332743081,14,16.137487475150554,34.470396518707275,154677.84,0.0,714.5714285714286,-8746.642793901536,4,10004,-0.021713167,0.009818204,-0.041826605796813965
5.603499,0.0,-6544.634211738053,21,15.601878665925199,40.75531005859375,91288.984,0.0,562.7619047619048,-6856.283459916054,7,11818,-0.024262892,0.012129036,0.006884098052978516
5.589828,0.0,-6993.689974835546,24,16.899513840008247,46.92634057998657,90669.16,0.0,597.25,-7285.093723787027,3,14334,-0.020735586,0.009132456,0.13937723636627197
5.5637364,0.0,-6993.689974835546,24,16.899513840008247,53.140876054763794,136565.72,0.0,597.25,-7285.093723787027,0,14334,-0.025211023,0.015695056,0.38269346952438354
5.581161,0.0,-7478.215018484778,26,17.159674441428837,59.294084310531616,57485.402,0.0,704.1153846153846,-7765.838673041885,2,18307,-0.031011373,0.012615938,0.540070503950119
5.559957,0.0,-8104.93858763329,29,18.446441023930664,65.52467036247253,115263.47,0.0,701.551724137931,-8384.41922858616,3,20345,-0.03136665,0.011553547,0.022421061992645264
5.5622087,0.0,-7675.369292899958,33,17.98104527234304,71.76765465736389,72551.93,0.0,666.060606060606,-7907.956241169654,4,21980,-0.034269176,0.01217435,-0.17619454860687256
5.564697,0.0,-6844.591581860821,38,16.907401947776254,77.90102219581604,63480.754,0.0,646.7368421052631,-7024.712412962422,5,24576,-0.030993346,0.017220866,0.14205819368362427
5.5563407,0.0,-6319.68986079987,42,16.673324012514435,83.91039276123047,109071.8,0.0,620.6428571428571,-6470.15866700939,4,26067,-0.028308606,0.014941803,-0.006055951118469238
5.5337977,0.0,-5833.851706307446,45,16.158394306551436,89.71539735794067,56561.977,0.0,635.2222222222222,-5963.492855336501,3,28585,-0.035741918,0.019182699,0.22630161046981812
5.5216355,0.0,-5319.116437377832,49,15.44127608456499,95.8109438419342,93043.15,0.0,626.6122448979592,-5427.669834059011,4,30704,-0.04199247,0.018745335,0.0905829668045044
5.490495,0.0,-5592.330353000116,51,15.592841133682974,101.9985945224762,78156.055,0.0,634.0392156862745,-5701.983889333452,2,32336,-0.04782386,0.01782072,0.4553324580192566
5.4785047,0.0,-5592.330353000116,51,15.592841133682974,107.98562121391296,37162.098,0.0,634.0392156862745,-5701.983889333452,0,32336,-0.042338442,0.01827459,0.304570734500885
5.490188,0.0,-5390.414666847436,55,15.108704634246095,114.11163520812988,21035.365,0.0,663.2545454545455,-5488.422206244662,4,36479,-0.04458443,0.018411785,0.2231249213218689
5.4667926,0.0,-5531.156248312388,58,15.124597007764528,120.40067982673645,59095.71,0.0,662.2241379310345,-5626.521011214326,3,38409,-0.05264783,0.021069914,0.19102978706359863
5.4350753,0.0,-5769.273470388094,59,15.373019332663358,126.59899973869324,45711.13,0.0,672.9322033898305,-5867.057766496367,1,39703,-0.048454892,0.022591744,0.10214591026306152
5.413874,0.0,-5818.810346592278,63,15.287975520454868,132.8711655139923,36860.113,0.0,677.4603174603175,-5911.1724155858055,4,42680,-0.051311567,0.023964178,0.2636662721633911
5.383528,0.0,-5814.55860914454,67,15.576507233917667,138.8596715927124,38087.67,0.0,663.0597014925373,-5901.343065997444,4,44425,-0.054911107,0.02279874,0.5065217018127441
5.3776355,0.0,-5906.099043701456,69,15.690040117575524,144.7333345413208,43165.695,0.0,667.2753623188406,-5991.69468201597,2,46042,-0.0385937,0.021895701,0.0731169581413269
5.3866067,0.0,-5783.92461138214,74,15.472339623886192,150.83041787147522,32755.457,0.0,659.0945945945946,-5862.085754779195,5,48773,-0.056949615,0.021735303,0.5660628974437714
5.3841453,0.0,-5265.9252903855,80,15.013166813196168,156.6708791255951,31426.943,0.0,637.3875,-5331.749356515318,6,50991,-0.061082393,0.02250815,0.4530489444732666
5.3531203,0.0,-5300.5968190238145,82,15.059660707895182,162.4894073009491,39859.3,0.0,643.329268292683,-5365.238243646056,2,52753,-0.06744245,0.021700151,0.31611984968185425
5.3581557,0.0,-5316.982689288829,84,15.137402073129632,168.26231503486633,44481.227,0.0,654.297619047619,-5380.280102256553,2,54961,-0.06192242,0.02788985,0.47773873805999756
5.3553767,0.0,-5278.561663838912,87,15.157384240671076,174.1700828075409,9536.863,0.0,648.2183908045977,-5339.234786411773,3,56395,-0.05332697,0.031133955,0.5293602645397186
5.3622174,0.0,-5238.974787187454,90,15.191757035411362,179.9754467010498,12817.192,0.0,654.6555555555556,-5297.185618156203,3,58919,-0.072229184,0.026855016,0.4578089714050293
